ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,external_link,Button text,Position
10804,external,,Seedrs,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform, Startups",,https://ecoventure.ch/wp-content/uploads/2024/03/seedrs.png,,,,,,,https://www.seedrs.com/invest/raising-now?sort=trending_desc&sort_collection=campaigns,Zur Plattform,0
10807,external,,Econeers,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform",,https://ecoventure.ch/wp-content/uploads/2024/03/econeers.png,,,,,,,https://www.econeers.de/,Zur Plattform,0
10810,external,,Lendahand,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform",,https://ecoventure.ch/wp-content/uploads/2024/03/lendahand.png,,,,,,,https://www.lendahand.com/en-EU/projects,,0
10813,external,,Conda,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform, Startups",,https://ecoventure.ch/wp-content/uploads/2024/03/conda.png,,,,,,,https://www.conda.ch/,,0
10858,external,,Solarify,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform, Solar",,https://ecoventure.ch/wp-content/uploads/2024/03/Solarify-Logo-1.png,,,,,,,https://solarify.ch/,,0
10861,external,,EWZ Solarzüri,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform, Solar",,https://ecoventure.ch/wp-content/uploads/2024/03/ewz.jpg,,,,,,,https://www.ewz.ch/de/private/strom/produkte/ewz-solarzueri.html,,0
10864,external,,ADEV,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Energie, Investment, Plattform, Solar, Wasser, Wind",,https://ecoventure.ch/wp-content/uploads/2024/03/adev.jpg,,,,,,,https://www.adev.ch/de/invest/,,0
10867,external,,Rockets,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform, Startups",,https://ecoventure.ch/wp-content/uploads/2024/03/¨rockets.png,,,,,,,https://rockets.investments/,,0
10870,external,,Distributed Energy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Energie, Investment, Plattform",,https://ecoventure.ch/wp-content/uploads/2024/03/distributed-energy.jpg,,,,,,,https://de.energy/projects/,,0
10873,external,,GOPARITY,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform, Startups",,https://ecoventure.ch/wp-content/uploads/2024/03/goparity.png,,,,,,,https://goparity.com/invest/open-projects,,0
10876,external,,Companisto,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform, Startups",,https://ecoventure.ch/wp-content/uploads/2024/03/COMPANISTO-logo_staked_black_text_2000px.png,,,,,,,https://www.companisto.com/de/,,0
10879,external,,EnergiseAfrica,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform, Solar, Startups",,https://ecoventure.ch/wp-content/uploads/2024/03/energiseafrica.jpg,,,,,,,https://www.energiseafrica.com/investments,,0
10882,external,,Republic,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Plattform > Crowdfunding, Plattform","Investment, Plattform, Startups",,https://ecoventure.ch/wp-content/uploads/2024/03/republic.png,,,,,,,https://republic.com/,,0
